gene_claim_name	gene_name	entrez_id	gene_claim_source
ENSG00000139287	TPH2	121278	Ensembl
ENSG00000212454	RNA5SP286	100873539	Ensembl
ENSG00000234684	SDCBP2-AS1	100507495	Ensembl
ENSG00000148702	HABP2	3026	Ensembl
ENSG00000283432			Ensembl
ENSG00000242165	RN7SL222P	106481831	Ensembl
ENSG00000244125			Ensembl
ARAF	ARAF	369	OncoKB
ENSG00000224541			Ensembl
984			GuideToPharmacologyInteractions
ENSG00000212191	SNORD65	692106	Ensembl
ENSG00000107872	FBXL15	79176	Ensembl
ENSG00000068097	HEATR6	63897	Ensembl
P43155	CRAT	1384	HopkinsGroom
7092	TLL1	7092	dGene
ENSG00000283598	MIR1295B	100847009	Ensembl
ENSG00000270133			Ensembl
ENSG00000266185	RN7SL804P	106481140	Ensembl
P36507	MAP2K2	5605	HopkinsGroom
ENSG00000270488			Ensembl
ENSG00000249875			Ensembl
CALR	CALR	811	CKB
ENSG00000108479	GALK1	2584	Ensembl
HSP90AA1	HSP90AA1	3320	MyCancerGenome
ENSG00000267057	LINC01905	102724698	Ensembl
NHE3	SLC9A3	6550	ChemblInteractions
ENSG00000223768	LINC00205	102723489	Ensembl
ENSG00000278811	LINC00624	100289211	Ensembl
ENSG00000272986			Ensembl
ENSG00000266407	MIR3157	100422892	Ensembl
ENSG00000213453	FTH1P3	2498	Ensembl
ENSG00000260983			Ensembl
IGFBP3	IGFBP3	3486	GO
ENSG00000252988	RNU6-111P	106481212	Ensembl
ENSG00000120055	C10ORF95	79946	Ensembl
ENSG00000177047	IFNW1	3467	Ensembl
ENSG00000239569	KMT2E-AS1	100216545	Ensembl
ENSG00000160870	CYP3A7	1551	RussLampel
SLC2A5	SLC2A5	6518	NCI
312	HCAR2	338442	GuideToPharmacologyGenes
ENSG00000204147	ASAH2B	653308	Ensembl
ENSG00000258548	LINC00645	100505967	Ensembl
P00749	PLAU	5328	HopkinsGroom
CCR6	CCR6	1235	NCI
ENSG00000176716	OR10AB1P	390091	Ensembl
ENSG00000199357			Ensembl
ENSG00000167491	GATAD2A	54815	Ensembl
ENSG00000156411	C14ORF2	9556	Ensembl
140469	MYO3B	140469	dGene
ENSG00000261154	LINC02131	105371350	Ensembl
482	P2RX5	5026	GuideToPharmacologyGenes
ENSG00000260196			Ensembl
ENSG00000132405	TBC1D14	57533	Ensembl
ENSG00000255480			Ensembl
ENSG00000236234			Ensembl
ENSG00000200554	RNU6-1020P	106481503	Ensembl
ENSG00000201023	RNY3P11	106481713	Ensembl
ENSG00000123992	DNPEP	23549	Ensembl
KIN	KIN	22944	GO
ENSG00000162267	ITIH3	3699	Ensembl
ENSG00000274213			Ensembl
ENSG00000207454	RNU6-1104P	106481528	Ensembl
ENSG00000278340	MIR6862-2	102465907	Ensembl
ENSG00000239413	RPS27P23	100130775	Ensembl
ENSG00000231001	CCNB1IP1P3	100128456	Ensembl
ENSG00000237709	EEF1A1P28	442709	Ensembl
ENSG00000170430	MGMT	4255	Ensembl
NRAS	NRAS	4893	NCI
ENSG00000211912	IGHD2-21	28502	Ensembl
ENSG00000284613			Ensembl
ENSG00000234542			Ensembl
ENSG00000128438	TBC1D27	96597	Ensembl
ENSG00000284490			Ensembl
ENSG00000207496	SNORA7A	619563	Ensembl
ENSG00000227755			Ensembl
RDX	RDX	5962	GO
ENSG00000171102	OBP2B	29989	HingoraniCasas
ENSG00000212404			Ensembl
2284	YES1	7525	GuideToPharmacologyInteractions
SLC25A5	SLC25A5	292	GO
ENSG00000283481	MTND4LP32	109729156	Ensembl
ENSG00000153339	TRAPPC8	22878	Ensembl
ENSG00000248170			Ensembl
ENSG00000258785	LINC01580	101927129	Ensembl
P47870	GABRB2	2561	TEND
TAS2R20	TAS2R20	259295	GO
ENSG00000228280			Ensembl
DPP6	DPP6	1804	GO
ENSG00000135047	CTSL	1514	Ensembl
ENSG00000218426			Ensembl
ENSG00000182141	ZNF708	7562	Ensembl
ENSG00000260746	KIF18BP1	642683	Ensembl
ENSG00000155463	OXA1L	5018	Ensembl
ENSG00000262248			Ensembl
ENSG00000252727	SCARNA11	677780	Ensembl
ENSG00000154678	PDE1C	5137	HingoraniCasas
ENSG00000063244	U2AF2	11338	Ensembl
ENSG00000187961	KLHL17	339451	HingoraniCasas
TBXAS1	TBXAS1	6916	NCI
ENSG00000147140	NONO	4841	Ensembl
ENSG00000170348	TMED10	10972	Ensembl
ENSG00000061676	NCKAP1	10787	Ensembl
ENSG00000235304	LINC01281	286442	Ensembl
ENSG00000148180	GSN	2934	Ensembl
ENSG00000155115	GTF3C6	112495	Ensembl
ENSG00000197933	ZNF823	55552	Ensembl
ENSG00000216523			Ensembl
2142	PDK2	5164	GuideToPharmacologyInteractions
CD19	CD19	930	ChemblInteractions
ENSG00000224870			Ensembl
ENSG00000162929	KIAA1841	84542	Ensembl
ENSG00000253573			Ensembl
ENSG00000250654			Ensembl
ENSG00000126561	STAT5A	6776	Ensembl
KCNQ2	KCNQ2	3785	GO
ENSG00000265321	MIR4263	100422965	Ensembl
NR2C2	NR2C2	7182	BaderLabGenes
ENSG00000233980	FDPSP2	619190	Ensembl
ENSG00000131055	COX4I2	84701	Ensembl
ENSG00000253595	LINC01300	731779	Ensembl
390756	OR3A4P	390756	dGene
P30874	SSTR2	6752	TdgClinicalTrial
SCN8A	SCN8A	6334	BaderLabGenes
ENSG00000221782	MIR548F2	100313771	Ensembl
ENSG00000149651	SPINT4	391253	HingoraniCasas
P12319	FCER1A	2205	TEND
ENSG00000250417	LINC02116	101929034	Ensembl
ENSG00000116035	VAX2	25806	Ensembl
10653	SPINT2	10653	dGene
FOXA2	FOXA2	3170	GO
ENSG00000185385	OR7A17	26333	Ensembl
ENSG00000177144	NUDT4P1	440672	Ensembl
ENSG00000258534			Ensembl
ENSG00000244005	NFS1	9054	Ensembl
ENSG00000127334	DYRK2	8445	Ensembl
ENSG00000283326	MIR6860	102465518	Ensembl
ENSG00000111424	VDR	7421	HingoraniCasas
ENSG00000114124	GRK7	131890	Ensembl
ENSG00000258842			Ensembl
51232	CRIM1	51232	dGene
ENSG00000116260	QSOX1	5768	RussLampel
ENSG00000146904	EPHA1	2041	HingoraniCasas
ALK	ALK	238	TALC
ENSG00000235720	GABPAP	8327	Ensembl
ENSG00000078589	P2RY10	27334	HingoraniCasas
ENSG00000112164	GLP1R	2740	HingoraniCasas
ENSG00000253088			Ensembl
ENSG00000264207			Ensembl
ENSG00000014914	MTMR11	10903	Ensembl
ENSG00000120324	PCDHB10	56126	HingoraniCasas
ENSG00000187522	HSPA14	51182	Ensembl
ENSG00000213906	LTB4R2	56413	Ensembl
56265	CPXM1	56265	dGene
P57058	HUNK	30811	HopkinsGroom
ENSG00000231449			Ensembl
ENSG00000170412	GPRC5C	55890	Ensembl
ENSG00000242990	RPL13AP23	441641	Ensembl
ENSG00000271629			Ensembl
ENSG00000249451			Ensembl
ENSG00000158815	FGF17	8822	HingoraniCasas
ENSG00000227386			Ensembl
C2orf31	FZD5	7855	ChemblInteractions
ENSG00000231625			Ensembl
ENSG00000260859			Ensembl
NFE2L2	NFE2L2	4780	FoundationOneGenes
KCNK15	KCNK15	60598	GO
ENSG00000239636			Ensembl
ENSG00000213003	BTF3P12	652963	Ensembl
SRC	SRC	6714	CKB
ENSG00000135541	AHI1	54806	Ensembl
ENSG00000183055	FAM133CP	728640	Ensembl
DOK7	DOK7	285489	GO
ENSG00000196839	ADA	100	Ensembl
ENSG00000254996	ANKHD1-EIF4EBP3	404734	Ensembl
ENSG00000259414			Ensembl
P40818	USP8	9101	HopkinsGroom
ENSG00000273293			Ensembl
ENSG00000169218	RSPO1	284654	Ensembl
ENSG00000054983	GALC	2581	Ensembl
ENSG00000258125			Ensembl
ENSG00000157388	CACNA1D	776	Ensembl
ENSG00000206864	RNU6-207P	106481766	Ensembl
638	HMGCS1	3157	GuideToPharmacologyInteractions
ENSG00000243697			Ensembl
ENSG00000255251	PRR23D1	100131608	Ensembl
2322	FLT3	2322	dGene
ENSG00000182511	FES	2242	RussLampel
CYCS	CYCS	54205	GO
ENSG00000231504	NMD3P2	100286929	Ensembl
KPNA3	KPNA3	3839	GO
ENSG00000225764	P3H2-AS1	101929152	Ensembl
TOM1L1	TOM1L1	10040	GO
ENSG00000243176			Ensembl
ENSG00000235811			Ensembl
ENSG00000257069			Ensembl
ENSG00000198785	GRIN3A	116443	HingoraniCasas
ENSG00000070501	POLB	5423	HingoraniCasas
ENSG00000283329	FAM240B	110806297	Ensembl
2142	PDK2	5164	GuideToPharmacologyGenes
ENSG00000164011	ZNF691	51058	Ensembl
ENSG00000283487	MIR4501	100616137	Ensembl
ENSG00000170949	ZNF160	90338	Ensembl
ENSG00000231307	RPS3P2	140761	Ensembl
ENSG00000189143	CLDN4	1364	Ensembl
ENSG00000102287	GABRE	2564	HingoraniCasas
ENSG00000271220			Ensembl
ENSG00000183921	SDR42E2	100288072	RussLampel
ENSG00000236871	LINC00106	751580	Ensembl
ENSG00000155511	GRIA1	2890	Ensembl
ENSG00000219492			Ensembl
ENSG00000188368	PRR19	284338	Ensembl
ENSG00000269807			Ensembl
ENSG00000255159			Ensembl
ENSG00000156787	TBC1D31	93594	Ensembl
ENSG00000236591			Ensembl
ENSG00000248978			Ensembl
ENSG00000241251			Ensembl
ENSG00000229828	PDE4DIPP1	728920	Ensembl
ENSG00000106580			RussLampel
PPD	HPD	3242	ChemblInteractions
ENSG00000149516	MS4A3	932	Ensembl
SCN4A	SCN4A	6329	ChemblInteractions
NRAS	NRAS	4893	CKB
ENSG00000281706	LINC01012	100507173	Ensembl
ENSG00000250480			Ensembl
ENSG00000050748	MAPK9	5601	RussLampel
ENSG00000283958	MIR1248	100302143	Ensembl
ENSG00000256030	CBX3P4	100873792	Ensembl
ENSG00000140988	RPS2	6187	Ensembl
ENSG00000164399	IL3	3562	Ensembl
ENSG00000240804	NPM1P28	646849	Ensembl
ENSG00000145476	CYP4V2	285440	RussLampel
ENSG00000171094	ALK	238	HingoraniCasas
ENSG00000215388	ACTG1P3	75	Ensembl
ENSG00000277124			Ensembl
ENSG00000196236	XPNPEP3	63929	Ensembl
ENSG00000276193			Ensembl
870			GuideToPharmacologyInteractions
1512	MAST3	23031	GuideToPharmacologyGenes
ENSG00000205865	FAM99B	100132464	Ensembl
OR11H2	OR11H2	79334	GO
ENSG00000109625	CPZ	8532	RussLampel
ENSG00000129757	CDKN1C	1028	Ensembl
EPHB3	EPHB3	2049	GO
ENSG00000274105			Ensembl
P05546	SERPIND1	3053	HopkinsGroom
ENSG00000170044	ZPLD1	131368	Ensembl
ENSG00000196498	NCOR2	9612	Ensembl
ENSG00000059758	CDK17	5128	Ensembl
ENSG00000151655	ITIH2	3698	RussLampel
ENSG00000166634	SERPINB12	89777	Ensembl
ENSG00000223006	RN7SKP137	106479156	Ensembl
ENSG00000211655	IGLV1-36	28826	Ensembl
ENSG00000227518			Ensembl
Q16512	PKN1	5585	TdgClinicalTrial
ENSG00000132670	PTPRA	5786	HingoraniCasas
1534	SGK1	6446	GuideToPharmacologyInteractions
ENSG00000243220			Ensembl
ENSG00000198610	AKR1C4	1109	RussLampel
ENSG00000180269	GPR139	124274	HingoraniCasas
ENSG00000164845	FAM86FP	653113	Ensembl
ENSG00000152193	RNF219	79596	Ensembl
ENSG00000274186	RN7SL248P	106479312	Ensembl
TTDS00221			TTD
2580	ITGB1	3688	GuideToPharmacologyInteractions
ENSG00000227447	XGY1	7500	Ensembl
278	S1PR4	8698	GuideToPharmacologyInteractions
ENSG00000260237			Ensembl
ENSG00000283785	MIR15A	406948	Ensembl
ENSG00000235899	LINC01564	101927171	Ensembl
ENSG00000253585			Ensembl
ENSG00000185985	SLITRK2	84631	Ensembl
ENSG00000171490	RSL1D1	26156	Ensembl
ENSG00000091181	IL5RA	3568	Ensembl
ENSG00000216708	CIR1P3	106480783	Ensembl
ENSG00000117984	CTSD	1509	RussLampel
ENSG00000148408	CACNA1B	774	RussLampel
1952	CELSR2	1952	dGene
NEK4	NEK4	6787	GO
Q16829	DUSP7	1849	HopkinsGroom
ENSG00000164366	CCDC127	133957	Ensembl
ENSG00000237292	LINC01732	101928973	Ensembl
SATB1	SATB1	6304	GO
ENSG00000234899	SOX9-AS1	400618	Ensembl
ENSG00000168610	STAT3	6774	HingoraniCasas
ENSG00000225267	RPL8P2	100128766	Ensembl
ENSG00000221703	MIR302E	100313774	Ensembl
BMP15	BMP15	9210	GO
MAPKAPK2	MAPKAPK2	9261	GO
ENSG00000284659			Ensembl
ENSG00000280118			Ensembl
ENSG00000205213	LGR4	55366	Ensembl
ENSG00000189157	FAM47E	100129583	Ensembl
OR2T2	OR2T2	401992	GO
